№,Название,Характеристика,Цена,Фото
1,Toyota Highlander,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Черный





Двигатель
Бензин, 3.5 л.





Коробка передач
Автомат





Привод
Полный







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relaxм",6 652 800 сом,https://im.mashina.kg/tachka/images//0/8/0/08045d48465709ce233510ca93532327_640x480.jpg
2,Toyota Hilux,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Пикап
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Белый





Двигатель
Бензин, 2.7 л.





Коробка передач
Механика





Привод
Полный





Расход топлива, л.

                                                                                                    10.7 смешанный                                                                                            







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",4 164 300 сом,https://im.mashina.kg/tachka/images//0/f/6/0f6f7c22cc52fab37698536545d19434_640x480.jpg
3,Toyota Hilux,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Пикап
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Белый





Двигатель
Бензин, 2.7 л.





Коробка передач
Механика





Привод
Полный





Расход топлива, л.

                                                                                                    10.7 смешанный                                                                                            







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",4 164 300 сом,https://im.mashina.kg/tachka/images//c/3/7/c37908079e6652c1e1d9649647b06c4a_640x480.jpg
4,Toyota Hilux,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Пикап
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Белый





Двигатель
Бензин, 2.7 л.





Коробка передач
Механика





Привод
Полный





Расход топлива, л.

                                                                                                    10.7 смешанный                                                                                            







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",4 164 300 сом,https://im.mashina.kg/tachka/images//8/0/b/80b04710f6f5e33a00f01460c4476d38_640x480.jpg
5,Toyota Hilux,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Пикап
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Белый





Двигатель
Бензин, 2.7 л.





Коробка передач
Механика





Привод
Полный





Расход топлива, л.

                                                                                                    10.7 смешанный                                                                                            







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",4 164 300 сом,https://im.mashina.kg/tachka/images//7/9/d/79d6c21b0432b414254a33cb0d7e09ce_640x480.jpg
6,Toyota Corolla,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                            Седан
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    





Цвет
Черный





Двигатель
Бензин, 1.6 л.





Коробка передач
Вариатор





Привод
Передний





Разгон до 100 км/ч, с
10.8







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",2 454 060 сом,https://im.mashina.kg/tachka/images//3/0/1/3017b547f69efa7a64f21aaa04db773e_640x480.jpg
7,Toyota Corolla,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                            Седан
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    





Цвет
Белый





Двигатель
Бензин, 1.6 л.





Коробка передач
Вариатор





Привод
Передний





Разгон до 100 км/ч, с
10.8







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",2 815 260 сом,https://im.mashina.kg/tachka/images//e/9/b/e9bc370a6a77c58f8d1e8a8bf563af6a_640x480.jpg
8,Toyota Corolla,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                            Седан
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    





Цвет
Черный





Двигатель
Бензин, 1.6 л.





Коробка передач
Вариатор





Привод
Передний





Разгон до 100 км/ч, с
10.8







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",2 815 260 сом,https://im.mashina.kg/tachka/images//9/a/d/9adfe9e62e0e4fd3e821f8b8ca1de2f3_640x480.jpg
9,Toyota Corolla,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                            Седан
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    





Цвет
Белый





Двигатель
Бензин, 1.6 л.





Коробка передач
Вариатор





Привод
Передний





Разгон до 100 км/ч, с
10.8







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",2 454 060 сом,https://im.mashina.kg/tachka/images//f/3/1/f31d0b8e99b2fade76df0868bdab3cf7_640x480.jpg
10,Toyota Land Cruiser,"Характеристики




Год выпуска
2022





Кузов

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        





Цвет
Черный





Двигатель
Бензин, 3.4 л.





Коробка передач
Автомат





Привод
Полный





Разгон до 100 км/ч, с
6.8







Условия гарантии
3 года или 100 000 км с возможность расширения гарантии до 10 лет по программе TOYOTA Relax",10 334 100 сом,https://im.mashina.kg/tachka/images//7/7/3/773f886e6910fb1cb82d2c0424fd5d2f_640x480.jpg
